id_num,px,py,pz
0,-4.0,3.9916,0.8
1,1.9795,-1.9792,0.2588 
2,1.9527,1.9958,0.2588
3,3.9667,4.0613,0.2588
4,3.9870,-3.9937,0.2588
5,3.2801,-1.9802,0.2588
6,2.3309,0.0163,0.2588
7,3.9381,0.0449,0.2588
8,3.4647,2.0170,0.2588
9,1.9818,3.6471,0.2588
10,-0.0461,4.0168,0.2588
11,-1.9899,3.2068,0.2588
12,-0.0097,2.4976,0.2588
13,-3.5010,2.0162,0.2588
14,-3.9679,0.0341,0.2588
15,-2.5665,0.0375,0.2588
16,-3.1884,-2.0021,0.2588
17,-1.9940,-3.9975,0.2588
18,0.0244,-2.6194,0.2588
19,-0.0200,-4.0382,0.2588
20,2.0478,-3.4497,0.2588
21,-3.9080,-5.0000,0.2588 
22,-3.9080,-1.9482,0.2588 
23,2.5,-5.0,0.2588 
